TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
4634.199,937.631,376.126,25.498,7682.5,6693.75,-2633.75,-110.96,-159.6,-231.04
4634.249,924.699,376.126,22.57,4060.0,6361.25,-4672.5,-97.28,-173.28,-224.96
4634.299,936.655,414.983,-2.623,-2607.5,5416.25,-6536.25,-97.28,-156.56,-237.12
4634.349,928.786,390.949,-2.135,-9423.75,4208.75,-1373.75,-106.4,-165.68,-224.96
4634.399,917.684,364.536,7.93,-12311.25,3001.25,3150.0,-91.2,-164.16,-241.68
4634.449,916.952,357.216,-9.15,-5967.5,52.5,4716.25,-115.52,-158.08,-235.6
4634.499,927.383,345.992,-6.588,-7665.0,-638.75,6518.75,-106.4,-158.08,-228.0
4634.549,936.899,324.398,-10.309,-1601.25,-612.5,5740.0,-104.88,-155.04,-221.92
4634.599,949.16,318.847,-13.542,2082.5,3447.5,3596.25,-115.52,-161.12,-226.48
4634.649,915.549,317.871,2.44,2905.0,3920.0,131.25,-114.0,-164.16,-231.04
4634.699,917.135,349.042,-8.967,2082.5,-586.25,175.0,-104.88,-144.4,-234.08
4634.749,932.263,345.809,-12.932,-2922.5,1522.5,927.5,-109.44,-159.6,-231.04
4634.799,929.213,341.295,-7.442,-2108.75,1198.75,87.5,-107.92,-150.48,-218.88
4634.8492,933.605,355.691,-8.113,-560.0,-2625.0,805.0,-88.16,-156.56,-235.6
4634.899,921.893,353.129,-21.289,-6116.25,1732.5,2747.5,-106.4,-148.96,-231.04
4634.949,961.665,326.777,-43.066,-376.25,-14708.75,2100.0,-106.4,-155.04,-229.52
4634.999,918.477,325.13,-26.291,-2887.5,15837.5,192.5,-114.0,-145.92,-235.6
4635.049,891.759,350.811,-13.603,-2301.25,-17158.75,3596.25,-103.36,-156.56,-218.88
4635.099,915.488,309.88,-46.055,-9625.0,-14000.0,7192.5,-104.88,-153.52,-215.84
4635.149,964.105,348.066,-65.331,-4655.0,1916.25,5766.25,-118.56,-158.08,-208.24
4635.199,904.935,300.669,-60.39,-13606.25,-8321.25,6938.75,-97.28,-136.8,-212.8
4635.249,998.692,342.21,-70.699,-1881.25,1986.25,2318.75,-104.88,-127.68,-205.2
4635.299,923.662,295.911,15.067,-2983.75,-1128.75,2056.25,-91.2,-141.36,-223.44
4635.349,957.456,307.135,-22.57,-8942.5,4768.75,-1260.0,-95.76,-121.6,-206.72
4635.399,909.571,250.71,-30.622,17193.75,-19337.5,-5626.25,-107.92,-135.28,-214.32
4635.449,922.991,288.347,-98.698,11637.5,-31456.25,-7577.5,-103.36,-144.4,-185.44
4635.499,949.404,268.888,-170.556,16353.75,-34973.75,-5626.25,-123.12,-136.8,-190.0
4635.549,867.847,238.937,-206.119,12355.0,-19153.75,-2878.75,-117.04,-139.84,-162.64
4635.599,877.485,218.746,-246.013,14525.0,-24998.75,-4261.25,-126.16,-150.48,-170.24
4635.649,874.557,275.659,-265.96,22443.75,-1522.5,-14568.75,-123.12,-145.92,-153.52
