TimeStamp,Code
664.0015,sw_94
667.0075,sw_93
677.011,sw_92
677.0149,sw_91
680.8169,sw_90
680.8272,sw_99
685.8413,sw_0
688.3485,sw_97
690.3338,sw_96
696.3264,sw_95
697.3489,sw_99
702.3439,sw_0
704.8327,sw_97
706.8335,sw_96
712.8704,sw_95
713.8725,sw_99
718.8726,sw_1
721.3729,sw_97
723.3677,sw_96
729.363,sw_95
730.374,sw_99
735.3389,sw_1
737.8803,sw_97
739.889,sw_96
745.8588,sw_95
746.8921,sw_99
751.8664,sw_0
754.3973,sw_97
756.3794,sw_96
762.4017,sw_95
763.4102,sw_99
768.4154,sw_0
770.9202,sw_97
772.9196,sw_96
778.9179,sw_95
779.9216,sw_99
784.9081,sw_1
787.4014,sw_97
789.4386,sw_96
795.4353,sw_95
796.432,sw_99
801.4234,sw_1
803.9397,sw_97
805.9375,sw_96
811.9443,sw_95
812.9438,sw_99
817.9354,sw_0
820.4496,sw_97
822.4572,sw_96
828.4319,sw_95
829.4591,sw_99
834.4486,sw_1
836.9703,sw_97
838.9671,sw_96
844.9675,sw_95
845.96,sw_89
845.9637,sw_94
905.6714,sw_93
915.692,sw_92
915.705,sw_91
928.3686,sw_90
928.375,sw_99
933.3681,sw_0
935.8856,sw_97
937.8765,sw_96
943.8949,sw_95
944.8965,sw_99
949.8933,sw_1
952.4021,sw_97
954.3769,sw_96
960.4076,sw_95
961.4025,sw_99
966.4066,sw_1
968.8785,sw_97
970.9184,sw_96
976.8943,sw_95
977.9042,sw_99
982.8985,sw_1
985.4306,sw_97
987.4097,sw_96
993.4288,sw_95
994.4101,sw_99
999.449,sw_0
1001.9275,sw_97
1003.9532,sw_96
1009.9405,sw_95
1010.9558,sw_99
1015.955,sw_1
1018.4537,sw_97
1020.4573,sw_96
1026.4642,sw_95
1027.4525,sw_99
1032.465,sw_0
1034.9766,sw_97
1036.9715,sw_96
1042.952,sw_95
1043.9885,sw_99
1048.9909,sw_1
1051.4693,sw_97
1053.4857,sw_96
1059.5046,sw_95
1060.5004,sw_99
1065.5053,sw_0
1068.0058,sw_97
1069.9909,sw_96
1076.0008,sw_95
1077.0098,sw_99
1082.0281,sw_0
1084.5125,sw_97
1086.5378,sw_96
1092.5257,sw_95
1093.5277,sw_89
1093.5327,sw_94
1105.3653,sw_93
1115.3654,sw_92
1115.3741,sw_91
1121.8628,sw_90
1121.869,sw_99
1126.8679,sw_1
1129.3534,sw_97
1131.381,sw_96
1137.3558,sw_95
1138.3694,sw_99
1143.3794,sw_1
1145.8893,sw_97
1147.8937,sw_96
1153.8919,sw_95
1154.898,sw_99
1159.8848,sw_1
1162.3848,sw_97
1164.4105,sw_96
1170.4105,sw_95
1171.3782,sw_99
1176.4157,sw_0
1178.9235,sw_97
1180.9291,sw_96
1186.9308,sw_95
1187.9317,sw_99
1192.9364,sw_0
1195.4377,sw_97
1197.4316,sw_96
1203.4286,sw_95
1204.4488,sw_99
1209.4415,sw_1
1211.9506,sw_97
1213.937,sw_96
1219.927,sw_95
1220.9289,sw_99
1225.9531,sw_0
1228.4448,sw_97
1230.4606,sw_96
1236.4534,sw_95
1237.4779,sw_99
1242.4506,sw_1
1244.9797,sw_97
1246.9786,sw_96
1252.9792,sw_95
1253.9875,sw_99
1258.9519,sw_0
1261.4839,sw_97
1263.4937,sw_96
1269.4783,sw_95
1270.4938,sw_99
1275.4736,sw_0
1277.9912,sw_97
1280.0053,sw_96
1286.0138,sw_95
1287.011,sw_89
1287.0135,sw_94
1322.2498,sw_93
1332.2763,sw_92
1332.2824,sw_91
1341.7927,sw_90
1341.7943,sw_99
1346.786,sw_0
1349.285,sw_97
1351.2999,sw_96
1357.3124,sw_95
1358.3291,sw_99
1363.3061,sw_1
1365.8234,sw_97
1367.8022,sw_96
1373.8403,sw_95
1374.8239,sw_99
1379.8367,sw_0
1382.338,sw_97
1384.3445,sw_96
1390.3522,sw_95
1391.3548,sw_99
1396.3571,sw_1
1398.8552,sw_97
1400.8783,sw_96
1406.877,sw_95
1407.8836,sw_99
1412.8795,sw_0
1415.3916,sw_97
1417.3958,sw_96
1423.3824,sw_95
1424.3882,sw_99
1429.3689,sw_0
1431.8826,sw_97
1433.8833,sw_96
1439.9152,sw_95
1440.9179,sw_99
1445.9083,sw_0
1448.3848,sw_97
1450.4151,sw_96
1456.4342,sw_95
1457.425,sw_99
1462.445,sw_1
1464.9442,sw_97
1466.9436,sw_96
1472.9395,sw_95
1473.9565,sw_99
1478.9459,sw_1
1481.4583,sw_97
1483.4394,sw_96
1489.4516,sw_95
1490.4605,sw_99
1495.4695,sw_1
1497.9453,sw_97
1499.9656,sw_96
1505.9601,sw_95
1506.9759,sw_89
1506.99,sw_94
1537.7493,sw_93
1547.7568,sw_92
1547.7597,sw_91
1618.8984,sw_90
1618.9318,sw_99
1623.911,sw_0
1626.4359,sw_97
1628.3898,sw_96
1634.4148,sw_95
1635.4366,sw_99
1640.424,sw_0
1642.9316,sw_97
1644.937,sw_96
1650.9128,sw_95
1651.9541,sw_99
1656.938,sw_1
1659.4583,sw_97
1661.4616,sw_96
1667.4268,sw_95
1668.4667,sw_99
1673.4649,sw_0
1675.9617,sw_97
1677.9707,sw_96
1683.9774,sw_95
1684.9507,sw_99
1689.9788,sw_0
1692.4721,sw_97
1694.4742,sw_96
1700.4659,sw_95
1701.4841,sw_99
1706.4953,sw_1
1708.9959,sw_97
1710.9824,sw_96
1716.9943,sw_95
1717.9927,sw_99
1722.9801,sw_1
1725.5053,sw_97
1727.4868,sw_96
1733.4969,sw_95
1734.4772,sw_99
1739.5032,sw_0
1742.0135,sw_97
1744.0178,sw_96
1750.0129,sw_95
1751.0304,sw_99
1756.0184,sw_1
1758.5327,sw_97
1760.5432,sw_96
1766.5448,sw_95
1767.537,sw_99
1772.5515,sw_1
1775.0488,sw_97
1777.0525,sw_96
1783.0501,sw_95
1784.0491,sw_89
1784.0539,sw_94
1790.0295,sw_93
1800.0259,sw_92
1800.0389,sw_91
1834.3585,sw_90
1834.3672,sw_99
1839.3714,sw_0
1841.8749,sw_97
1843.8809,sw_96
1849.8623,sw_95
1850.887,sw_99
1855.8863,sw_0
1858.3862,sw_97
1860.3883,sw_96
1866.3963,sw_95
1867.4035,sw_99
1872.4151,sw_1
1874.9006,sw_97
1876.92,sw_96
1882.9167,sw_95
1883.8964,sw_99
1888.891,sw_0
1891.4348,sw_97
1893.4334,sw_96
1899.4176,sw_95
1900.4371,sw_99
1905.449,sw_1
1907.9246,sw_97
1909.9531,sw_96
1915.9652,sw_95
1916.9657,sw_99
1921.9685,sw_1
1924.4551,sw_97
1926.457,sw_96
1932.4601,sw_95
1933.4865,sw_99
1938.4639,sw_0
1940.9627,sw_97
1942.9804,sw_96
1949.0017,sw_95
1949.9955,sw_99
1955.0078,sw_0
1957.4707,sw_97
1959.513,sw_96
1965.5027,sw_95
1966.5212,sw_99
1971.5235,sw_1
1973.9707,sw_97
1976.0177,sw_96
1982.0313,sw_95
1983.008,sw_99
1988.0102,sw_1
1990.5388,sw_97
1992.5411,sw_96
1998.5363,sw_95
1999.5398,sw_89
1999.544,sw_94
2295.1671,sw_93
