TimeStamp,Code
2807.1786,sw_94
2917.0916,sw_93
2927.1025,sw_92
2927.1205,sw_91
2933.396,sw_90
2933.3994,sw_99
2938.3956,sw_0
2940.9047,sw_97
2942.9093,sw_96
2948.8875,sw_95
2949.9167,sw_99
2954.9145,sw_1
2957.4235,sw_97
2959.4076,sw_96
2965.4183,sw_95
2966.4364,sw_99
2971.4101,sw_1
2973.9226,sw_97
2975.9428,sw_96
2981.9216,sw_95
2982.94,sw_99
2987.946,sw_1
2990.4512,sw_97
2992.4439,sw_96
2998.4552,sw_95
2999.4586,sw_99
3004.4449,sw_1
3006.9225,sw_97
3008.9651,sw_96
3014.9525,sw_95
3015.9542,sw_99
3020.9516,sw_0
3023.4582,sw_97
3025.4787,sw_96
3031.4759,sw_95
3032.4826,sw_99
3037.4626,sw_0
3039.9809,sw_97
3041.9646,sw_96
3047.9857,sw_95
3048.9649,sw_99
3053.9896,sw_0
3056.5007,sw_97
3058.5016,sw_96
3064.4968,sw_95
3065.4954,sw_99
3070.4839,sw_1
3073.0019,sw_97
3074.9826,sw_96
3081.0085,sw_95
3082.0051,sw_99
3087.0212,sw_0
3089.5215,sw_97
3091.5275,sw_96
3097.5323,sw_95
3098.5294,sw_89
3098.5316,sw_94
3109.4219,sw_93
3119.4234,sw_92
3119.4352,sw_91
3120.9533,sw_90
3120.9663,sw_99
3125.974,sw_1
3128.4905,sw_97
3130.4834,sw_96
3136.49,sw_95
3137.4896,sw_99
3142.4881,sw_0
3144.9977,sw_97
3147.0002,sw_96
3153.004,sw_95
3153.9947,sw_99
3159.0143,sw_1
3161.4934,sw_97
3163.4926,sw_96
3169.497,sw_95
3170.517,sw_99
3175.5096,sw_0
3178.0314,sw_97
3180.0296,sw_96
3186.0413,sw_95
3187.0444,sw_99
3192.0428,sw_1
3194.5411,sw_97
3196.5492,sw_96
3202.5501,sw_95
3203.5343,sw_99
3208.5582,sw_0
3211.0579,sw_97
3213.0638,sw_96
3219.0626,sw_95
3220.0577,sw_99
3225.0571,sw_0
3227.5466,sw_97
3229.5694,sw_96
3235.5766,sw_95
3236.576,sw_99
3241.5749,sw_1
3244.0796,sw_97
3246.0796,sw_96
3252.0622,sw_95
3253.091,sw_99
3258.0552,sw_1
3260.5643,sw_97
3262.5816,sw_96
3268.5965,sw_95
3269.5845,sw_99
3274.5941,sw_0
3277.1033,sw_97
3279.1047,sw_96
3285.0951,sw_95
3286.1007,sw_89
3286.1174,sw_94
3288.6794,sw_93
3298.6764,sw_92
3298.6959,sw_91
3300.9772,sw_90
3300.9836,sw_99
3305.9835,sw_0
3308.4679,sw_97
3310.484,sw_96
3316.494,sw_95
3317.4492,sw_99
3322.4812,sw_1
3324.9963,sw_97
3327.0037,sw_96
3333.0041,sw_95
3333.9982,sw_99
3339.0013,sw_1
3341.499,sw_97
3343.5179,sw_96
3349.5179,sw_95
3350.5248,sw_99
3355.5029,sw_0
3358.0097,sw_97
3360.0224,sw_96
3366.0177,sw_95
3367.0337,sw_99
3372.0342,sw_0
3374.537,sw_97
3376.539,sw_96
3382.5416,sw_95
3383.5287,sw_99
3388.5459,sw_1
3391.0419,sw_97
3393.0366,sw_96
3399.0515,sw_95
3400.0132,sw_99
3405.0321,sw_0
3407.5618,sw_97
3409.5424,sw_96
3415.5691,sw_95
3416.5668,sw_99
3421.5748,sw_1
3424.0696,sw_97
3426.0663,sw_96
3432.0842,sw_95
3433.0874,sw_99
3438.0845,sw_0
3440.5593,sw_97
3442.5843,sw_96
3448.5956,sw_95
3449.5902,sw_99
3454.5822,sw_1
3457.093,sw_97
3459.0994,sw_96
3465.1048,sw_95
3466.073,sw_89
3466.0788,sw_94
3468.4266,sw_93
3478.424,sw_92
3478.4368,sw_91
3480.0672,sw_90
3480.084,sw_99
3485.1014,sw_0
3487.6063,sw_97
3489.6095,sw_96
3495.6051,sw_95
3496.617,sw_99
3501.612,sw_1
3504.1079,sw_97
3506.1262,sw_96
3512.1242,sw_95
3513.1305,sw_99
3518.1338,sw_1
3520.6274,sw_97
3522.6231,sw_96
3528.6333,sw_95
3529.627,sw_99
3534.6444,sw_0
3537.1386,sw_97
3539.1409,sw_96
3545.1293,sw_95
3546.1502,sw_99
3551.1544,sw_1
3553.633,sw_97
3555.66,sw_96
3561.6636,sw_95
3562.638,sw_99
3567.6539,sw_1
3570.17,sw_97
3572.1498,sw_96
3578.1733,sw_95
3579.1523,sw_99
3584.1722,sw_0
3586.6822,sw_97
3588.6806,sw_96
3594.6778,sw_95
3595.6856,sw_99
3600.6905,sw_1
3603.1847,sw_97
3605.1832,sw_96
3611.193,sw_95
3612.1982,sw_99
3617.1887,sw_0
3619.7019,sw_97
3621.7065,sw_96
3627.6611,sw_95
3628.7038,sw_99
3633.6963,sw_0
3636.21,sw_97
3638.2062,sw_96
3644.208,sw_95
3645.1854,sw_89
3645.1932,sw_94
3647.7205,sw_93
3657.7286,sw_92
3657.7354,sw_91
3660.2862,sw_90
3660.296,sw_99
3665.2799,sw_0
3667.7995,sw_97
3669.7957,sw_96
3675.7705,sw_95
3676.8139,sw_99
3681.8049,sw_1
3684.314,sw_97
3686.3183,sw_96
3692.3039,sw_95
3693.3269,sw_99
3698.3116,sw_0
3700.8263,sw_97
3702.8303,sw_96
3708.835,sw_95
3709.8362,sw_99
3714.8326,sw_1
3717.3404,sw_97
3719.3338,sw_96
3725.3139,sw_95
3726.3358,sw_99
3731.3416,sw_1
3733.829,sw_97
3735.8553,sw_96
3741.8513,sw_95
3742.8638,sw_99
3747.8598,sw_0
3750.3717,sw_97
3752.3496,sw_96
3758.3764,sw_95
3759.3444,sw_99
3764.3764,sw_0
3766.8834,sw_97
3768.8698,sw_96
3774.87,sw_95
3775.8801,sw_99
3780.8467,sw_1
3783.3966,sw_97
3785.364,sw_96
3791.3837,sw_95
3792.3991,sw_99
3797.3828,sw_1
3799.9061,sw_97
3801.8811,sw_96
3807.8982,sw_95
3808.9125,sw_99
3813.9071,sw_0
3816.4216,sw_97
3818.4231,sw_96
3824.4181,sw_95
3825.4293,sw_89
3825.4313,sw_94
3852.8449,pb_5
3888.7379,pb_6
3900.161,pb_7
