TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
666.8761,666.364,437.309,-576.938,1566.25,3045.0,-288.75,-101.84,-161.12,91.2
666.9261,663.558,440.908,-574.01,595.0,4208.75,227.5,-107.92,-152.0,94.24
666.9761,659.471,440.237,-568.764,350.0,5416.25,-262.5,-100.32,-156.56,82.08
667.0261,661.24,443.409,-564.006,-411.25,4383.75,-1426.25,-115.52,-156.56,86.64
667.0761,656.543,447.069,-561.871,-1618.75,3106.25,-1137.5,-104.88,-162.64,103.36
667.1261,660.447,439.871,-565.47,-945.0,761.25,175.0,-104.88,-158.08,86.64
667.1761,663.253,440.725,-570.96,533.75,1618.75,-166.25,-120.08,-156.56,89.68
667.2262,668.621,437.553,-566.141,787.5,2931.25,-2205.0,-101.84,-153.52,98.8
667.2761,660.386,450.363,-563.945,-1986.25,3955.0,-2616.25,-117.04,-167.2,94.24
667.3261,651.907,451.583,-560.956,-1242.5,1347.5,-1435.0,-106.4,-150.48,80.56
667.3761,653.981,447.74,-568.642,-1802.5,-1863.75,-481.25,-103.36,-162.64,88.16
667.4261,650.992,448.228,-575.962,-1163.75,-2948.75,-1995.0,-104.88,-152.0,79.04
667.4761,646.112,454.084,-575.718,-2187.5,-2126.25,-358.75,-100.32,-165.68,95.76
667.5261,650.016,461.709,-575.352,-1487.5,586.25,691.25,-120.08,-173.28,95.76
667.5761,657.275,455.426,-569.435,-3325.0,2502.5,2616.25,-101.84,-155.04,106.4
667.6261,666.181,454.694,-566.263,-4033.75,4112.5,4917.5,-110.96,-167.2,97.28
667.6761,660.569,426.756,-562.359,-4427.5,4261.25,3517.5,-109.44,-159.6,92.72
667.7261,655.018,430.965,-561.749,323.75,1653.75,-4051.25,-120.08,-161.12,97.28
667.7761,656.787,435.113,-570.899,5031.25,1548.75,-7341.25,-103.36,-158.08,83.6
667.8261,655.384,461.343,-579.134,2826.25,875.0,-6641.25,-110.96,-145.92,82.08
667.8761,668.56,462.929,-574.986,2476.25,4996.25,-3675.0,-101.84,-165.68,107.92
667.9261,644.526,475.312,-549.244,-3718.75,5390.0,507.5,-112.48,-168.72,97.28
667.9761,657.519,456.28,-558.577,-7848.75,1785.0,1522.5,-98.8,-173.28,83.6
668.0261,662.399,447.557,-559.37,-1697.5,1155.0,-883.75,-103.36,-153.52,80.56
668.0761,637.999,450.668,-560.468,2187.5,262.5,-3465.0,-107.92,-152.0,86.64
668.1262,629.459,451.644,-575.718,1601.25,-1566.25,-3500.0,-114.0,-167.2,109.44
668.1761,646.417,466.955,-585.051,218.75,-2196.25,-787.5,-124.64,-155.04,98.8
668.2261,655.079,447.435,-588.467,-323.75,2248.75,-385.0,-110.96,-158.08,95.76
668.2761,674.355,461.282,-567.3,393.75,5705.0,-3675.0,-97.28,-164.16,86.64
668.3261,653.066,477.996,-534.36,-673.75,7840.0,-4217.5,-107.92,-182.4,95.76
668.3761,639.524,480.07,-533.567,-3937.5,6020.0,1295.0,-114.0,-161.12,100.32
668.4261,635.864,471.347,-545.096,-2546.25,4865.0,6606.25,-98.8,-156.56,98.8
668.4761,645.624,455.609,-564.799,140.0,-638.75,2878.75,-109.44,-155.04,94.24
668.5261,640.195,449.814,-579.927,2598.75,-3526.25,-1242.5,-101.84,-159.6,92.72
668.5761,638.731,446.581,-596.153,3998.75,-4952.5,-175.0,-110.96,-161.12,89.68
668.6261,636.84,442.494,-605.974,5932.5,-3185.0,-367.5,-107.92,-155.04,91.2
668.6761,630.801,445.666,-608.475,7297.5,297.5,-4007.5,-110.96,-158.08,89.68
668.7261,635.559,452.498,-594.933,1050.0,5678.75,175.0,-107.92,-156.56,101.84
668.7761,642.025,444.385,-593.408,2152.5,7866.25,3727.5,-104.88,-153.52,104.88
668.8261,641.537,454.938,-579.012,288.75,8487.5,1925.0,-104.88,-155.04,92.72
668.8761,658.739,447.679,-575.596,-1163.75,8400.0,2222.5,-107.92,-155.04,97.28
668.9261,658.617,441.701,-571.448,-3552.5,8435.0,2992.5,-98.8,-165.68,98.8
668.9761,660.386,440.847,-565.592,-3080.0,8592.5,1540.0,-94.24,-159.6,88.16
669.0261,662.948,427.976,-561.078,-2388.75,4296.25,-1863.75,-109.44,-156.56,94.24
669.0761,664.839,446.032,-555.405,-1321.25,2187.5,-4235.0,-115.52,-158.08,91.2
669.1261,662.643,453.657,-556.991,586.25,2642.5,-3412.5,-110.96,-158.08,88.16
669.1761,662.826,444.385,-558.272,1286.25,4130.0,1190.0,-104.88,-153.52,94.24
669.2261,665.205,439.993,-564.311,1925.0,3990.0,936.25,-120.08,-152.0,86.64
669.2763,662.216,439.383,-562.237,1015.0,1207.5,-2003.75,-109.44,-161.12,88.16
669.3261,650.626,440.847,-563.945,630.0,1365.0,-708.75,-115.52,-164.16,98.8
669.3762,661.179,448.045,-573.217,3106.25,2703.75,-595.0,-91.2,-159.6,89.68
669.4261,657.397,436.577,-572.424,560.0,1417.5,140.0,-109.44,-156.56,89.68
669.4761,653.371,440.054,-574.376,1216.25,1916.25,-857.5,-103.36,-155.04,89.68
669.5261,659.471,444.202,-575.169,1102.5,2038.75,-1653.75,-103.36,-156.56,88.16
669.5761,654.835,444.568,-574.498,350.0,2275.0,-971.25,-110.96,-153.52,106.4
669.6261,653.554,442.433,-572.241,1312.5,3141.25,-787.5,-112.48,-150.48,97.28
669.6761,656.238,441.091,-573.522,1303.75,3421.25,70.0,-104.88,-162.64,91.2
669.7261,659.41,438.59,-572.424,1225.0,3587.5,210.0,-115.52,-153.52,89.68
669.7761,656.787,442.006,-573.217,656.25,3290.0,-376.25,-104.88,-167.2,94.24
669.8261,655.079,440.603,-573.461,612.5,3106.25,175.0,-97.28,-156.56,100.32
669.8761,657.519,437.37,-573.949,805.0,3482.5,848.75,-97.28,-152.0,86.64
669.9261,662.948,428.281,-572.668,630.0,3027.5,148.75,-109.44,-147.44,82.08
669.9765,659.959,433.954,-574.01,866.25,3246.25,-787.5,-115.52,-148.96,76.0
670.0261,663.009,439.017,-574.925,1855.0,3675.0,-1330.0,-106.4,-159.6,97.28
670.0761,662.704,431.209,-572.729,420.0,3307.5,-306.25,-123.12,-155.04,98.8
670.1261,661.057,433.405,-571.143,280.0,3325.0,507.5,-107.92,-161.12,103.36
670.1761,660.874,429.318,-571.997,1120.0,3386.25,-26.25,-112.48,-145.92,89.68
670.2261,664.351,432.307,-574.986,1417.5,2642.5,-1102.5,-118.56,-150.48,107.92
670.2761,658.556,431.941,-576.084,1277.5,2878.75,-971.25,-114.0,-155.04,97.28
670.3261,660.508,434.015,-577.914,420.0,3535.0,-131.25,-104.88,-148.96,92.72
670.3761,666.486,429.989,-574.01,113.75,3421.25,52.5,-104.88,-155.04,88.16
670.4261,663.985,426.146,-575.23,341.25,3762.5,-218.75,-120.08,-158.08,80.56
670.4761,662.948,427.915,-573.766,490.0,3220.0,-805.0,-107.92,-156.56,91.2
670.5261,663.009,429.562,-571.814,586.25,3062.5,-113.75,-107.92,-139.84,89.68
670.5761,664.961,427.122,-573.522,1120.0,3482.5,96.25,-112.48,-147.44,92.72
670.6261,666.486,427.244,-574.01,796.25,3430.0,-560.0,-106.4,-144.4,95.76
670.6761,665.022,423.767,-573.644,1085.0,3325.0,-857.5,-114.0,-158.08,92.72
670.7261,666.852,436.333,-573.583,-595.0,3745.0,-306.25,-103.36,-142.88,89.68
670.7761,664.656,427.793,-567.605,-288.75,2992.5,-96.25,-101.84,-152.0,89.68
670.8261,665.51,423.706,-569.008,525.0,3622.5,210.0,-110.96,-161.12,92.72
670.8761,666.791,422.364,-570.899,953.75,2668.75,-1207.5,-104.88,-148.96,91.2
670.9261,660.752,424.377,-576.389,140.0,2012.5,-936.25,-112.48,-144.4,88.16
670.9761,661.911,432.368,-575.169,682.5,3115.0,-288.75,-109.44,-152.0,95.76
671.0261,668.804,423.767,-574.925,-551.25,2782.5,-385.0,-101.84,-148.96,101.84
671.0761,668.56,421.754,-571.143,-647.5,2695.0,-901.25,-112.48,-147.44,94.24
671.1261,664.29,424.194,-571.387,-612.5,2380.0,-1505.0,-97.28,-145.92,104.88
671.1761,669.475,429.074,-568.825,-2213.75,-1496.25,-2843.75,-120.08,-158.08,76.0
671.2261,660.813,433.405,-570.533,-2353.75,-4471.25,-3578.75,-100.32,-142.88,97.28
671.2761,659.532,433.283,-588.223,-673.75,-3237.5,-3447.5,-100.32,-145.92,104.88
671.3261,639.097,442.982,-583.465,-2625.0,-3745.0,-5591.25,-110.96,-162.64,92.72
671.3761,652.7,448.228,-583.892,516.25,-1645.0,-3421.25,-117.04,-148.96,95.76
671.4261,639.341,428.83,-576.816,2852.5,3062.5,-2450.0,-107.92,-162.64,98.8
671.4761,655.689,451.949,-588.528,3045.0,4165.0,-2511.25,-100.32,-153.52,100.32
