TimeStamp,Code
5896.1331,sw_97
5898.1724,sw_96
5904.1781,sw_95
5905.1818,sw_99
5910.1811,sw_1
5912.6803,sw_97
5914.6932,sw_96
5920.6856,sw_95
5921.6887,sw_99
5926.6672,sw_1
5929.1955,sw_97
5931.172,sw_96
5937.194,sw_95
5938.1943,sw_99
5943.2012,sw_0
5945.7069,sw_97
5947.7092,sw_96
5953.6985,sw_95
5954.7191,sw_99
5959.6921,sw_1
5962.2095,sw_97
5964.2276,sw_96
5970.226,sw_95
5971.2342,sw_99
5976.2099,sw_0
5978.7385,sw_97
5980.7325,sw_96
5986.7236,sw_95
5987.7152,sw_99
5992.7478,sw_0
5995.2287,sw_97
5997.2483,sw_96
6003.254,sw_95
6004.2565,sw_99
6009.2461,sw_1
6011.7577,sw_97
6013.7335,sw_96
6019.7623,sw_95
6020.7704,sw_99
6025.7398,sw_0
6028.2626,sw_97
6030.2846,sw_96
6036.2839,sw_95
6037.2799,sw_89
6037.2829,sw_94
6060.7716,sw_93
