TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2806.6064,813.801,518.927,-185.44,-43.75,2625.0,-665.0,-133.76,-190.0,-86.64
2806.6564,811.117,519.659,-186.416,26.25,2931.25,-726.25,-132.24,-180.88,-76.0
2806.7064,812.52,519.476,-185.806,-43.75,2817.5,-525.0,-147.44,-183.92,-59.28
2806.7564,814.289,520.391,-188.429,43.75,3193.75,-595.0,-148.96,-188.48,-76.0
2806.8064,813.191,518.439,-187.697,105.0,3010.0,-586.25,-152.0,-193.04,-82.08
2806.8564,813.557,520.696,-185.196,-17.5,3045.0,-577.5,-141.36,-182.4,-65.36
2806.9064,814.228,518.744,-186.965,-192.5,2896.25,-516.25,-129.2,-190.0,-85.12
2806.9564,811.117,519.293,-185.745,131.25,2808.75,-472.5,-129.2,-190.0,-74.48
2807.0064,810.324,516.06,-183.915,218.75,3115.0,-542.5,-148.96,-190.0,-72.96
2807.0564,814.045,524.722,-188.856,-105.0,2948.75,-980.0,-141.36,-182.4,-59.28
2807.1064,813.496,515.389,-181.353,-192.5,3955.0,-717.5,-138.32,-186.96,-74.48
2807.1564,809.165,522.16,-179.95,288.75,2695.0,-883.75,-145.92,-182.4,-80.56
2807.2064,811.178,518.5,-186.05,437.5,2100.0,-560.0,-138.32,-186.96,-85.12
2807.2564,813.618,521.733,-185.257,323.75,1837.5,-603.75,-141.36,-188.48,-82.08
2807.3064,810.446,512.827,-187.575,323.75,1820.0,-446.25,-145.92,-180.88,-82.08
2807.3564,812.581,518.073,-190.991,297.5,2205.0,-927.5,-136.8,-185.44,-83.6
2807.4064,813.252,521.123,-186.904,-78.75,3272.5,-665.0,-139.84,-182.4,-76.0
2807.4564,811.483,519.659,-186.233,-131.25,2948.75,-560.0,-133.76,-202.16,-72.96
2807.5064,814.716,518.5,-182.634,-52.5,2730.0,-577.5,-147.44,-190.0,-88.16
2807.5564,812.276,517.463,-185.501,96.25,2563.75,-603.75,-144.4,-182.4,-68.4
2807.6064,813.679,518.866,-186.782,175.0,2826.25,-481.25,-136.8,-183.92,-82.08
2807.6564,815.631,516.975,-186.111,227.5,2756.25,-428.75,-129.2,-186.96,-79.04
2807.7064,812.337,518.744,-186.355,166.25,2493.75,-595.0,-139.84,-183.92,-60.8
2807.7564,810.507,515.572,-189.344,262.5,2345.0,-866.25,-152.0,-185.44,-77.52
2807.8064,814.289,519.598,-190.808,61.25,1968.75,-708.75,-133.76,-182.4,-83.6
2807.8564,813.984,519.659,-187.514,-113.75,2108.75,-665.0,-141.36,-191.52,-69.92
2807.9064,809.897,514.84,-187.148,-35.0,2520.0,-726.25,-136.8,-191.52,-77.52
2807.9564,820.511,524.783,-194.712,-376.25,2861.25,-857.5,-147.44,-186.96,-72.96
2808.0064,815.265,514.962,-183.671,-1093.75,4725.0,-1102.5,-141.36,-188.48,-63.84
2808.0564,807.579,521.001,-184.647,901.25,2318.75,-1216.25,-135.28,-182.4,-79.04
2808.1064,809.47,524.295,-186.538,840.0,1960.0,-822.5,-147.44,-185.44,-83.6
2808.1564,808.738,517.402,-188.185,210.0,1111.25,-78.75,-129.2,-179.36,-62.32
2808.2064,808.494,510.57,-193.614,647.5,892.5,-393.75,-147.44,-194.56,-76.0
2808.2564,812.581,521.001,-197.945,586.25,1181.25,-918.75,-138.32,-191.52,-69.92
2808.3064,810.873,518.744,-195.322,-332.5,3316.25,-682.5,-133.76,-179.36,-80.56
2808.3564,811.117,523.319,-190.32,-805.0,3281.25,-665.0,-124.64,-188.48,-71.44
2808.4064,817.461,520.147,-189.771,-717.5,3080.0,-1198.75,-144.4,-205.2,-72.96
2808.4564,809.714,520.025,-188.063,-131.25,2555.0,-1190.0,-144.4,-194.56,-79.04
